Plot Idnum ,old plot num,Year,Rep,Treatment-num,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Leaf_N_per,Leaf_P_per,Leaf_K_per,Leaf_Ca_per,Leaf_Mg_per,Leaf_S_per,Leaf_B_ppm,Leaf_Fe_ppm,Leaf_Mn_ppm,Leaf_Cu_ppm,Leaf_Zn_ppm,Leaf_Al_ppm,Leaf_Na_ppm
310,305-2,2014,3,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.74,0.323,2.17,0.49,0.129,0.21,6.9,92.9,46.7,12,21.1,31.9,
311,301-3,2014,3,11,RT_ctrl,1,Control,3,Chisel,2.81,0.226,1.87,0.38,0.179,0.156,6.4,63.8,31.1,8.2,17.4,30.2,
312,302-3,2014,3,12,RT_N,2,N_only,3,Chisel,3.03,0.247,1.04,0.56,0.341,0.205,6.5,83.1,74.8,12,23.9,28.1,
313,303-3,2014,3,13,RT_NwNPK,3,NplusNPKst,3,Chisel,2.9,0.28,1.51,0.54,0.223,0.203,6.8,87.9,53.2,12,21.9,26.6,
314,304-3,2014,3,14,RT_NPK,4,NPK,3,Chisel,3.26,0.254,1.77,0.48,0.189,0.199,6.7,84.6,118,12.5,23.6,28.9,
315,305-3,2014,3,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.67,0.286,1.44,0.5,0.25,0.201,6.6,84.8,52.7,12.4,25,25.7,
316,301-4,2014,3,16,NT_ctrl,1,Control,4,No_till,3.32,0.222,0.76,0.56,0.486,0.181,5.6,70.8,43,12.3,25.8,28.9,
317,302-4,2014,3,17,NT_N,2,N_only,4,No_till,3.13,0.204,0.67,0.69,0.491,0.19,6.3,83.6,52.6,13.1,28.3,29.1,
318,303-4,2014,3,18,NT_NwNPK,3,NplusNPKst,4,No_till,3.24,0.252,1.7,0.44,0.189,0.169,5.3,77.3,35.2,10.5,21.6,32.6,
319,304-4,2014,3,19,NT_NPK,4,NPK,4,No_till,3.31,0.269,2.1,0.39,0.143,0.17,5.6,77.4,44.4,10.2,21.4,31.9,
320,305-4,2014,3,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,3.23,0.299,2.2,0.45,0.142,0.181,5.4,81.1,39.5,11.5,21.2,36.7,
401,401-1,2014,4,1,CT_ctrl,1,Control,1,Conv,2.57,0.22,1.52,0.54,0.248,0.171,5.6,71.2,39.8,9.4,16,39.3,
402,402-1,2014,4,2,CT_N,2,N_only,1,Conv,3.9,0.269,1.01,0.75,0.449,0.247,7.4,99.5,60.1,15.3,25.2,25.4,
403,403-1,2014,4,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.17,0.324,1.63,0.59,0.264,0.214,6.3,94.2,39.1,12.7,21.5,25.4,
404,404-1,2014,4,4,CT_NPK,4,NPK,1,Conv,2.7,0.263,2.01,0.61,0.192,0.195,6,84.8,50.9,10.9,19,33.5,
405,405-1,2014,4,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.72,0.312,2.38,0.54,0.148,0.214,6.4,92.2,47.8,11.9,21.3,41.5,
406,401-2,2014,4,6,AT_ctrl,1,Control,2,Alt,3.26,0.255,1.87,0.51,0.227,0.18,6.6,74.9,38.1,10.5,18.7,33.8,
